method,day_index,total_objective_cost,electricity_cost,qos_cost,switching_cost,total_energy_kwh,peak_power_kw,average_power_kw,average_active_servers,average_utilization,P1_sla_violation_rate,P2_sla_violation_rate,P3_sla_violation_rate,P1_violation_count,P2_violation_count,P3_violation_count,P1_sla_cost,P2_sla_cost,P3_sla_cost,P1_avg_delay,P2_avg_delay,P3_avg_delay,P1_completed,P2_completed,P3_completed,num_eval_days,start_day_index,end_day_index,random_seed
queue_greedy,1215,326.9483666623182,269.14836666231827,0.0,57.8,496.96373175724455,34.614000000000004,20.706822156551855,17.479166666666668,0.9996533272027683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0864978902953586,3.365296803652968,393.0,474.0,219.0,267,1064,1330,2024
queue_greedy,1216,319.67705504609637,269.27705504609634,0.0,50.4,495.80663295655097,34.614000000000004,20.658609706522956,17.395833333333332,0.9990680786165861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1510297482837528,3.2645739910313902,407.0,437.0,223.0,267,1064,1330,2024
queue_greedy,1217,323.7666659128547,264.7666659128547,0.0,59.0,493.512354415171,31.212,20.563014767298792,17.239583333333332,0.9980299321690373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.236842105263158,3.1964285714285716,405.0,418.0,224.0,267,1064,1330,2024
queue_greedy,1218,318.71630966777127,266.1163096677712,0.0,52.599999999999994,498.394444274285,37.449,20.766435178095207,17.59375,0.9986845454356046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.097902097902098,3.267543859649123,427.0,429.0,228.0,267,1064,1330,2024
queue_greedy,1219,336.6690480506294,272.06904805062936,0.0,64.6,506.9014939082168,40.851,21.120895579509035,18.28125,0.9950445050883938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1096491228070176,3.2521008403361344,391.0,456.0,238.0,267,1064,1330,2024
queue_greedy,1220,327.4296916402036,268.0296916402036,0.0,59.39999999999999,506.0747629381364,37.449,21.086448455755683,18.1875,0.9976433042412433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0819672131147542,3.2291666666666665,413.0,427.0,240.0,267,1064,1330,2024
queue_greedy,1221,320.502569585302,262.902569585302,0.0,57.599999999999994,485.1355533915688,32.65892427023242,20.213981391315368,16.65625,0.9952424400610186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0020703933747412,1.1388329979879275,3.5921787709497206,483.0,497.0,179.0,267,1064,1330,2024
queue_greedy,1222,328.0063540207376,267.0063540207376,0.0,61.0,494.77936412730503,32.913000000000004,20.61580683863771,17.354166666666668,0.9966142046628227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0831295843520783,3.1666666666666665,375.0,409.0,234.0,267,1064,1330,2024
queue_greedy,1223,322.5963667453857,263.6963667453857,0.0,58.9,488.98494295433045,37.449,20.374372623097102,17.010416666666668,0.991347667649717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1538461538461537,3.200892857142857,425.0,377.0,224.0,267,1064,1330,2024
queue_greedy,1224,328.7625802978853,264.7625802978853,0.0,63.99999999999999,498.6380243683915,34.614000000000004,20.776584348682977,17.666666666666668,0.9958678552241281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1890660592255125,3.197309417040359,439.0,439.0,223.0,267,1064,1330,2024
queue_greedy,1225,331.4856603171201,274.2856603171201,0.0,57.199999999999996,508.79185255350023,37.449,21.19966052306251,18.395833333333332,0.9946369233507367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1257995735607675,3.264705882352941,406.0,469.0,238.0,267,1064,1330,2024
queue_greedy,1226,337.33482461792346,265.6348246179234,0.0,71.69999999999999,497.41693630601077,37.449,20.725705679417114,17.5625,0.9968543780467228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0949074074074074,3.2618025751072963,386.0,432.0,233.0,267,1064,1330,2024
queue_greedy,1227,327.9980241372439,275.3980241372439,0.0,52.6,508.32556761638716,34.614000000000004,21.18023198401613,18.416666666666668,0.9920711948281213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0674157303370786,3.2975206611570247,451.0,445.0,242.0,267,1064,1330,2024
queue_greedy,1228,302.96805749162377,261.96805749162377,0.0,41.0,479.0036796613243,31.212,19.95848665255518,16.1875,0.9951404136026488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1284584980237153,4.038961038961039,538.0,506.0,154.0,267,1064,1330,2024
